,store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
283,1552357708124022142,0,14,0,0,10,0
284,5528766180183805661,1377,0,0,122,7,0
285,6252624026242162708,309,2,0,1190,15,0
286,4923162991944642705,1320,0,0,179,8,0
287,6792005552508373456,232,2,0,1267,15,0
288,3207936275085636287,625,10,0,874,7,0
289,1227925152111468964,1379,0,0,120,7,0
290,3830435584849095889,56,3,0,3,3,0
291,5721357029476609077,49,3,0,10,3,0
292,1495179965606986494,771,0,0,728,17,0
293,5610412530533291063,775,1,0,724,16,0
294,9111813718630350474,315,2,0,1184,15,0
295,7001015127375054226,779,0,0,720,17,0
296,2126569572325536294,1303,1,0,196,6,0
297,4664838166424751162,701,10,0,798,7,0
298,1062490453651181568,774,0,0,725,17,0
299,3119561459267159151,312,2,0,1187,15,0
300,5829217592981755483,1432,0,0,67,6,0
301,229392696493371616,48,20,0,11,10,0
302,3897548149267830666,304,2,0,1195,15,0
303,7898009483253486425,52,5,0,7,1,0
304,7116155571181942746,51,5,0,8,1,0
305,3408762813100733141,233,2,0,1266,15,0
306,6202874450801049187,53,5,0,6,1,0
307,4248854976462323200,239,2,0,1260,15,0
308,6540865366107698272,767,1,0,732,16,0
309,3750497338178007450,1439,0,0,60,6,0
310,544843242554356188,778,0,0,721,17,0
311,4681743429609749121,52,0,0,7,6,0
312,1245871250837592404,775,1,0,724,16,0
313,2742003467129972596,58,20,0,1,10,0
314,6817327931256412969,1373,7,0,126,1,0
315,6108971205781098565,479,11,0,1020,6,0
316,145417959116960440,0,0,0,0,1,0
317,2671352006512594556,1299,6,0,200,0,0
318,5516253888190090178,1371,0,0,128,7,0
319,3673755321638450787,605,11,0,894,6,0
320,757564082742101725,767,1,0,732,16,0
321,391996128555104689,772,0,0,727,17,0
322,1024015964072928046,35,0,0,8,5,0
323,4307011245033810874,1337,1,0,162,6,0
324,8833174126387019785,1437,0,0,62,6,0
325,2378940157071248391,0,18,0,0,6,0
326,2460010385978945388,56,5,0,3,1,0
327,2607803237069552758,53,3,0,6,3,0
328,5441697692781080792,1376,0,0,123,7,0
329,2942562654126415992,1421,1,0,78,6,0
330,8342809399303170104,768,0,0,731,7,0
331,5514360354119431183,775,0,0,724,17,0
332,7669040490108017952,0,3,0,0,0,0
333,12572597046904092,0,17,0,0,6,0
334,1324681203567490082,671,11,0,828,6,0
335,3970428415823108093,1435,0,0,64,6,0
336,1281962307190481769,471,11,0,1028,6,0
337,7865853505802791614,60,11,0,0,0,0
338,339527900019182494,47,3,0,12,3,0
339,2200316197143126398,49,3,0,10,3,0
340,849669130903883218,58,3,0,1,3,0
341,1120203242682432112,778,0,0,721,17,0
342,1339634828329062513,50,7,0,9,0,0
343,8377637253278141924,1377,4,0,122,0,0
344,1406055937856189625,1426,5,0,73,3,0
345,5670063460750150662,618,10,0,881,7,0
346,4756832881864797637,58,3,0,1,3,0
347,7848107479568999542,55,3,0,4,3,0
348,7102602689636982474,13,2,0,0,3,0
349,3528905339584729426,1433,0,0,66,6,0
350,6644346740593479671,1434,1,0,65,6,0
351,7298697060786411262,1433,0,0,66,6,0
352,332573856100750857,1378,0,0,121,7,0
353,8046946363444153301,1313,5,0,186,3,0
354,921857799091881195,1120,6,0,379,0,0
355,8469454412704129667,47,20,0,12,10,0
356,6842397837840074931,49,6,0,10,0,0
357,3335936003001211540,662,11,0,837,6,0
358,1494721423399185336,51,3,0,8,3,0
359,5548591958446704772,775,1,0,724,16,0
360,3355650025131059565,771,0,0,728,0,0
361,4823461475864726096,1337,1,0,162,6,0
362,3309449187761773285,768,0,0,731,17,0
363,6908789011556253351,48,5,0,11,1,0
364,8165685535525538800,1428,4,0,71,3,0
365,7384579014141510360,768,0,0,731,17,0
366,1912555533282230523,1275,5,0,224,0,0
367,4176667942951462854,0,20,0,0,6,0
368,6935189878675027473,1433,0,0,66,6,0
369,8493329891106339753,0,0,0,0,1,0
370,6534582361387159998,0,0,0,0,0,0
371,4958276022230275279,1420,1,0,79,6,0
372,6263806500030725828,52,3,0,7,3,0
373,4656329363676640496,0,0,0,0,0,0
374,5882131408888381960,60,17,0,0,0,0
375,5148694224669442750,769,0,0,730,6,0
376,7377442190619561655,0,0,0,0,0,0
377,8241407863379904851,43,3,0,0,3,0
378,6243851406198325678,773,0,0,726,0,0
379,8739366148952710727,60,17,0,0,0,0
380,6459845284155432644,694,10,0,805,7,0
381,810957447354664574,324,2,0,1175,15,0
382,8970509312518893785,768,1,0,731,16,0
383,1759040210299471913,1368,0,0,131,7,0
384,3131488116569714251,0,0,0,0,2,0
385,5044586070385128581,1003,7,0,496,10,0
386,7466277663248763659,58,3,0,1,3,0
387,6703745954269203712,1430,1,0,69,6,0
388,3655250411246040457,1434,0,0,65,6,0
389,4608713669307530996,1432,6,0,67,1,0
390,9218470229355806679,1432,0,0,67,6,0
391,2689915302676052787,775,0,0,724,17,0
392,3181682982511372161,57,3,0,2,3,0
393,8957564409329106783,580,8,0,919,0,0
394,5437414992872782794,775,0,0,724,17,0
395,1736823622651363324,571,8,0,928,0,0
396,5225120952399060307,58,3,0,1,3,0
397,6421416286321404209,662,11,0,837,6,0
398,8525317248689089924,1433,0,0,66,6,0
399,5885389123242289716,663,11,0,836,6,0
400,1568048303936889128,1275,5,0,224,0,0
401,1275530718017616233,340,3,0,1159,3,0
402,7423028298759910665,608,11,0,891,6,0
403,2222659961197665002,59,20,0,0,10,0
404,2581306311641061569,0,0,0,0,0,0
405,4439758315040000214,1438,0,0,61,6,0
406,2816010346575914202,5,0,0,7,5,0
407,9091984024869413132,1437,0,0,62,6,0
408,3010734844991134260,51,1,0,8,6,0
409,3478508669626617796,768,1,0,731,16,0
410,922677094745545948,984,11,0,515,6,0
411,8510657403329403361,1437,3,0,62,3,0
412,2544654206029195412,1376,0,0,123,7,0
413,1085824308941718209,37,0,0,5,4,0
414,7642900884278143798,568,11,0,931,6,0
415,4772426002265484977,57,5,0,2,1,0
416,8839009347165021967,53,3,0,6,3,0
417,1076326551375173763,1437,0,0,62,6,0
418,3483396411645927810,602,12,0,897,5,0
419,8383837387169593069,50,20,0,9,10,0
420,8596104727907893615,1129,0,0,370,11,0
421,5943691394885647081,0,0,0,0,0,0
422,7160291849340964918,0,2,0,0,15,0
423,8705601254340815493,318,2,0,1181,15,0
424,4164786324368398402,1421,16,0,78,15,0
425,1329620749273573213,662,11,0,837,6,0
426,3872163434748924812,769,0,0,730,17,0
427,530052332378613789,54,3,0,5,3,0
428,544421500538284823,0,3,0,0,0,0
429,8252810315979230650,48,3,0,11,3,0
430,2654794462633250702,52,5,0,7,1,0
431,5638371070040836066,48,5,0,11,1,0
432,4647070785754553179,0,14,0,0,10,0
433,5414311746658143054,0,11,0,0,15,0
434,6651116329301285608,1376,0,0,123,7,0
435,6022548883305393564,501,11,0,998,6,0
436,3182483432348915988,770,0,0,729,17,0
437,6710364911321105729,776,0,0,723,17,0
438,7431024604579120252,50,4,0,9,3,0
439,8516636064198554687,1363,1,0,136,6,0
440,4866400698986294569,1416,16,0,83,15,0
441,2237237809358266022,0,0,0,0,1,0
442,5404373355533072272,770,1,0,729,16,0
443,807795446744791539,313,2,0,1186,15,0
444,3636679415424536226,0,6,0,0,0,0
445,5519546548733745356,1371,0,0,128,7,0
446,3302025903868811555,1115,8,0,384,1,0
447,3570313972097068018,40,0,0,3,5,0
448,2169420598568208664,54,1,0,5,6,0
449,7369000223881875999,60,11,0,0,0,0
450,1600945327166552615,1434,0,0,65,6,0
451,5011875935689158149,1375,0,0,124,7,0
452,8057193747432734671,771,1,0,728,16,0
453,6814306481052341158,47,5,0,12,1,0
454,6082960386530651837,355,2,0,1144,15,0
455,8302393800798571304,53,6,0,6,0,0
456,4917202297383237926,308,2,0,1191,15,0
457,6953348387419728440,51,3,0,8,3,0
458,2152172270735743834,59,3,0,0,3,0
459,3217866581073341993,6,0,0,6,5,0
460,4921318406079072062,1424,1,0,75,6,0
461,222120335767680780,55,3,0,4,3,0
462,5366893348553692452,771,0,0,728,17,0
463,191331733720214713,1284,4,0,215,0,0
464,7235724709470150362,779,0,0,720,0,0
465,1704502456927455373,637,0,0,862,17,0
466,505566916207950598,1430,0,0,69,6,0
467,7852975887098099378,51,3,0,8,3,0
468,4789157162476311805,58,3,0,1,3,0
469,3301402885999045956,1422,4,0,77,3,0
470,4025243709505534400,1437,0,0,62,6,0
471,2717033434149907233,0,20,0,0,6,0
472,5623183175403629727,128,5,0,1371,12,0
473,7764169820811597185,1432,16,0,67,15,0
474,8496299046890675668,1427,0,0,72,6,0
475,2755282567814293240,0,19,0,0,6,0
476,7542507095706884557,775,0,0,724,17,0
477,6711428470739531382,0,0,0,0,1,0
478,3955175527438439049,239,2,0,1260,15,0
479,8363703646299213971,1434,0,0,65,6,0
480,4390339339092922880,58,3,0,1,3,0
481,2819620032108319968,1303,5,0,196,3,0
482,8273753264268101658,575,8,0,924,0,0
483,1059123788319082228,775,1,0,724,16,0
484,6321616220523777465,1435,0,0,64,6,0
485,8562380563167441809,778,0,0,721,17,0
486,4846221263435180255,318,22,0,1181,19,0
487,468251853021790099,58,2,0,1,15,0
488,8317560550989820837,1132,0,0,367,11,0
489,6189768128772440449,50,3,0,9,3,0
490,10913998916849586,346,2,0,1153,15,0
491,396078877209258585,775,0,0,724,17,0
492,7685023249649306361,1430,0,0,69,6,0
493,6570957590527764528,775,1,0,724,16,0
494,1851462329436760047,57,1,0,2,6,0
495,9094899234157960657,1417,2,0,82,15,0
496,3109175233871883374,1374,0,0,125,7,0
497,1834569743158088021,1370,0,0,129,7,0
498,4424946105527141451,548,8,0,951,0,0
499,2999376585553443335,0,20,0,0,6,0
500,3472583359122033940,53,2,0,6,15,0
501,7186159957839323524,768,0,0,731,0,0
502,7829875808885458590,771,1,0,728,16,0
503,5857383362689775783,58,1,0,1,6,0
504,8245825950638749372,3,0,0,10,5,0
505,4681761385056565771,1437,4,0,62,3,0
506,3199288788810367360,53,3,0,6,3,0
507,8024838149298896430,1132,0,0,367,11,0
508,4738825005004186886,628,10,0,871,7,0
509,2557363912224593999,1347,7,0,152,0,0
510,7093743177671699467,775,1,0,724,16,0
511,1603774261069625841,312,2,0,1187,15,0
512,2740314805467984430,1003,7,0,496,10,0
513,1095317074200225605,55,0,0,4,6,0
514,2336119809941801598,771,0,0,728,17,0
515,4113789786207506299,0,2,0,0,15,0
516,1530189762783095168,55,5,0,4,1,0
517,9028358488290162703,314,2,0,1185,15,0
518,4211742229230531986,0,0,0,0,3,0
519,86280978327987306,1378,0,0,121,7,0
520,2794668734436382699,582,8,0,917,0,0
521,2637135180128265866,1425,6,0,74,1,0
522,7285025333367797175,315,2,0,1184,15,0
523,4229534553524953507,58,15,0,1,15,0
524,7872057805038703923,60,17,0,0,0,0
525,3478034052400425126,1422,1,0,77,6,0
526,3705229786086545658,59,0,0,0,6,0
527,4455955882727210429,775,1,0,724,16,0
528,7378209180335728706,1370,0,0,129,7,0
529,3835220596587037896,351,2,0,1148,15,0
530,6934282015525708051,58,0,0,1,6,0
531,2739571364086420885,966,11,0,533,6,0
532,2378235490339082505,314,2,0,1185,15,0
533,4631422733156765096,52,2,0,7,15,0
534,498507889058368504,0,0,0,0,2,0
535,8562888091899130185,281,2,0,1218,15,0
536,3526550107739667540,1437,0,0,62,6,0
537,3585657517109439062,1436,16,0,63,15,0
538,6374225983522703190,1427,0,0,72,6,0
539,3815439093006914422,55,5,0,4,1,0
540,3272045057316259592,471,11,0,1028,6,0
541,5048490932761510857,322,0,0,1177,17,0
542,5775255591306877364,775,1,0,724,16,0
543,7582069595165541352,774,0,0,725,17,0
544,5658095063472105077,1375,0,0,124,7,0
545,8783702544048545188,1318,0,0,181,8,0
546,3230649452233072527,1299,6,0,200,0,0
547,4545109870331407179,55,3,0,4,3,0
